Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1787,3,28,0,0,0,-97,16,1,1,0,0,0,0,0,0,0,8.6,99,0,0,0,0,8.6,164
1806,3,25,0,0,0,-103.8,18.9,2; 3,33,88,0,0,7.5,3; 4,0,0,0,0,0,0,0,0,7.8,165
1818,5,31,0,0,0,-103.6,19.1,2; 3,33,88,0,0,7.7,3; 4,0,0,0,0,0,0,0,0,8.1,165
1820,5,4,0,0,0,-99.6,17.2,2; 3,33,88,0,0,7.6,3; 4,0,0,0,0,0,0,0,0,7.9,165
1837,11,22,0,0,0,-105,20,2; 3,33,88,0,0,7.7,3,0,0,0,0,0,0,0,0,8.1,165
1845,3,9,0,0,0,-97,16.6,2; 3,33,88,0,0,7.5,3,0,0,0,0,0,0,0,0,7.8,165
1845,4,7,0,0,0,-99.2,16.6,2; 3,33,88,0,0,7.9,3; 4,8.1,100,0,0,0,0,0,0,8.3,165
1854,5,5,0,0,0,-97.6,16.3,2; 3,33,88,0,0,7.7,3; 4,0,0,0,0,0,0,0,0,8.1,165
1858,6,19,0,0,0,-101.6,19.6,2; 3,99,88,0,0,7.5,3,0,0,0,0,0,0,0,0,7.8,165
1864,10,3,0,0,0,-97.4,18.7,2; 3,99,88,0,0,7.3,3,0,0,0,0,0,0,0,0,7.5,165
1870,5,11,0,0,0,-96.7,15.8,2; 3,33,88,0,0,7.9,3; 4,0,0,7,11,0,0,0,0,7,164
1872,3,27,0,0,0,-96.6,15.7,2; 3,33,88,0,0,7.4,3; 4,0,0,0,0,0,0,0,0,7.7,165
1874,3,16,0,0,0,-99.1,17.7,2; 3,99,88,0,0,7.3,3,0,0,0,0,0,0,0,0,7.5,165
1875,2,11,0,0,0,-103.8,21,2; 3,33,88,0,0,7.5,3,0,0,0,0,0,0,0,0,7.8,165
1875,3,9,0,0,0,-104.6,19.4,2; 3,33,88,0,0,7.4,3,0,0,0,0,0,0,0,0,7.7,165
1879,5,17,0,0,0,-98,18.6,2; 3,99,88,0,0,7,3,0,0,0,0,0,0,0,0,7.2,165
1882,7,19,0,0,0,-98.2,17.7,2; 3,99,88,0,0,7.5,3,0,0,0,0,0,0,0,0,7.8,165
1887,5,3,0,0,0,-109.2,31,3,10,88,0,0,7.3,3,0,0,0,0,0,0,0,0,7.5,165
1887,5,29,0,0,0,-99.8,17.2,2; 3,33,88,0,0,7.2,3,0,0,0,0,0,0,0,0,7.4,165
1889,9,6,0,0,0,-99.7,17,2; 3,33,88,0,0,7,3,0,0,0,0,0,0,0,0,7.2,165
1890,12,2,0,0,0,-98.6,16.7,2; 3,33,88,0,0,7.2,3,7.5,4,0,0,0,0,0,0,7.9,165
1894,11,2,0,0,0,-98,16.5,2; 3,33,88,0,0,7.4,3; 4,0,0,0,0,0,0,0,0,7.7,165
1897,6,5,0,0,0,-95.4,16.3,2; 3; 4,33,88,0,0,7.4,0,0,0,7,11,0,0,0,0,7,164
1899,1,14,2,36,0,-110,20,5; 6,1,0,0,0,7.4,5; 6,0,0,0,0,0,0,0,0,7.7,165
1899,1,24,23,43,0,-100.5,17.1,2; 3,33,88,0,0,7.9,5; 3; 101,0,0,0,0,0,0,0,0,8.3,165
1900,1,20,6,33,30,-105,20,5; 2; 7,25,7; 20,0,0,7.6,14; 13; 4,8.1,7,0,0,0,0,0,0,7.9,165
1900,5,16,20,12,0,-105,20,5; 2; 7,25,7; 20,0,0,7.1,4,7.6,7; 101,0,0,0,0,0,0,7.3,165
1900,11,9,16,10,0,-90,13,0,1,0,0,0,7,129,0,0,0,0,0,0,0,0,7,165
1901,3,5,10,45,0,-110,25,5,1,5,0,0,7.2,5,0,0,0,0,0,0,0,0,7.4,165
1901,10,8,2,14,0,-87,13,0,1,0,0,0,7.1,129,0,0,7.1,161,0,0,0,0,7.1,164
1901,12,9,2,17,0,-110,26,5; 6,1,0,0,0,7.5,5,0,0,0,0,0,0,0,0,7.8,165
1902,1,16,23,19,0,-99.72,17.62,8,1,0,0,0,7,89; 102,0,0,0,0,0,0,0,0,7.2,165
1902,4,19,2,24,0,-91.5,14.93,9; 10,25,20,0,0,7.9,5; 101,7.5,9; 10,7.5,43,0,0,0,0,7.5,164
1902,9,23,20,18,15,-92.583,16.583,11,25,13,0,0,7.6,9; 10,8.2,5; 101,7.8,11,0,0,0,0,7.8,164
1902,12,12,23,10,0,-114,29,5; 6,1,0,0,0,7.5,5,0,0,0,0,0,0,0,0,7.8,165
1903,1,14,1,47,36,-98,15,2; 7; 4,25,7; 3; 20,0,0,7.7,14; 13,8.3,7,7.7,43,0,0,0,0,7.7,164
1903,1,24,5,30,0,-115,31.5,5; 6,1,0,0,0,7,5,0,0,0,0,0,0,0,0,7.2,165
1905,10,24,17,40,0,-110,20,5,1,0,0,0,7,5,0,0,0,0,0,0,0,0,7.2,165
1905,12,17,5,27,0,-113,17,12; 5,1,0,0,0,7.5,5,0,0,0,0,0,0,0,0,7.8,165
1906,4,10,21,18,0,-110,20,14,60,47,0,0,7.2,14,0,0,0,0,0,0,0,0,7.4,165
1906,4,10,21,18,0,-110,20,5; 13,1,0,0,0,7.2,13,7.6,5,0,0,0,0,0,0,7.4,165
1907,4,15,6,8,6,-99.2,16.7,2; 7; 15,25,7; 15; 20,0,0,7.7,14,8.2,5; 7; 103,7.9,4; 41,0,0,0,0,7.9,164
1907,10,16,14,57,18,-112.5,28,5; 16,10,47,0,0,7.5,5,0,0,0,0,0,0,0,0,7.8,165
1908,3,26,23,3,30,-99.2,16.7,2,1,20,0,0,7.6,7,7.8,16; 4,0,0,0,0,0,0,7.9,165
1908,3,27,3,45,30,-101,17,5; 2; 7,1,7,0,0,7,14,7.4,5,0,0,0,0,0,0,7.2,165
1908,10,13,5,6,0,-102,18,12; 5; 7,1,0,0,0,6.9,3,7.2,5,0,0,0,0,0,0,7.1,165
1909,7,30,10,51,54,-99.9,16.8,2; 7; 15,50,13,0,0,7.3,14; 13,7.6,7,7.5,43,0,0,0,0,7.5,164
1909,7,31,18,43,10,-99.5,16.6,2; 7,1,7,0,0,7,14; 7,7.1,4,0,0,0,0,0,0,7.2,165
1909,9,5,11,17,20,-99.72,16.53,17,1,0,0,0,6.6,89,0,0,0,0,0,0,0,0,6.8,165
1909,10,31,10,23,0,-101.2,17,7,1,7,0,0,6.9,4,0,0,0,0,0,0,0,0,7.1,165
1910,5,31,4,57,0,-99.2,16.7,7,1,7,0,0,6.9,7,0,0,0,0,0,0,0,0,7.1,165
1910,9,24,3,32,42,-95.9,16.77,18,80,89,0,0,6.9,89; 102,0,0,0,0,0,0,0,0,7.1,165
1911,2,3,20,41,55,-97.6,17.8,19,80,89,0,0,7.2,102,6.5,89,0,0,0,0,0,0,7.4,165
1911,6,7,11,2,42,-103.7,19.7,2; 7; 15,50,13,0,0,7.7,5; 14; 103,7.9,2; 7; 4,7.6,43,0,0,0,0,7.6,164
1911,8,27,10,59,18,-96,17,19,100,89,0,0,6.7,89,0,0,0,0,0,0,0,0,6.9,165
1911,12,16,19,14,18,-100.7,16.9,2; 7,50,7; 13,0,0,7.6,14; 7; 4,7.8,4,7.3,43,0,0,0,0,7.3,164
1912,6,12,12,43,0,-89,17,0,1,0,0,0,6.8,132,0,0,0,0,0,0,0,0,6.8,165
1912,11,19,13,55,7,-99.83,19.93,2; 7,1,7,0,0,6.8,15,7,7,0,0,0,0,0,0,7,165
1912,12,9,8,32,24,-93,15.5,13,1,0,0,0,7.1,13,0,0,0,0,0,0,0,0,7.3,165
1914,3,30,0,41,18,-92,17,11,150,47,0,0,0,0,0,0,7.5,11,0,0,0,0,7.5,164
1915,9,7,1,20,48,-89,14,0,80,0,0,0,7.8,129,0,0,0,0,0,0,0,0,7.9,165
1915,11,21,0,13,22,-115,32,5,10,47,0,0,7.1,5; 103,0,0,7,43,0,0,0,0,7,164
1916,6,2,13,59,24,-95,17.5,2; 7,150,7,0,0,7,12,0,0,0,0,0,0,0,0,7.2,165
1916,11,21,6,25,24,-100,18,2; 7,1,7,0,0,6.8,15,7,7,0,0,0,0,0,0,7,165
1917,6,8,0,51,28,-91,14.5,20; 21,91,20; 21,0,0,7,20; 21,0,0,0,0,0,0,0,0,7.2,165
1917,10,19,16,36,50,-100,18,7,1,7,0,0,6.3,7,6.8,21,0,0,0,0,0,0,6.5,165
1917,12,29,22,50,20,-97,15,2; 7,1,7,0,0,7.1,7; 15,7.5,20; 21,6.9,43,0,0,0,0,6.9,164
1918,5,23,11,57,30,-111,27,22,10,0,0,0,6.8,89; 102,0,0,6.8,43,0,0,0,0,6.8,164
1918,6,7,21,27,6,-103.3,18.7,7,1,7,0,0,6.6,7; 18,6.8,21,0,0,0,0,0,0,6.8,165
1918,10,19,3,23,4.5,-90.023,13.88,0,35,0,0,0,0,0,0,0,6.6,159,0,0,0,0,6.6,164
1919,4,17,20,53,3,-92.2,14.8,9,1,0,0,0,7,9; 103,0,0,6.8,43,0,0,0,0,6.8,164
1920,1,4,4,21,56,-96.97,19.27,7,1,7,0,0,6.4,7; 14,7.8,105,0,0,0,0,0,0,6.6,165
1920,3,23,15,21,52.4,-93.521,16.145,0,15,0,0,0,0,0,0,0,6.2,159,0,0,0,0,6.2,164
1920,4,19,21,6,36,-97,19,22,110,89,0,0,6.7,102,0,0,0,0,0,0,0,0,6.9,165
1920,7,3,16,34,54.6,-94.062,15.16,0,25,0,0,0,0,0,0,0,5.8,159,0,0,0,0,5.8,164
1920,10,1,18,50,59.8,-99.346,16.278,0,10,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1920,10,8,16,50,51,-91.449,16.663,0,10,0,0,0,0,0,0,0,6.3,159,0,0,0,0,6.3,164
1921,2,4,8,22,44,-91,15,9; 10; 6,120,10,0,0,7.2,9; 10,0,0,7,43,0,0,0,0,7,164
1921,3,6,7,25,13.1,-109.958,26.497,0,15,0,0,0,0,0,0,0,6.3,159,0,0,0,0,6.3,164
1921,3,28,7,49,30,-87.09,13.635,0,15,0,0,0,7.4,131,0,0,7.3,43,0,0,0,0,7.3,164
